Item,Description,Type,Quantity On Hand,Preferred Vendor,Barcode,Barcode Image
005-150,Corner Cap Alum,Inventory Part,1,FLEET WAREHOUSE,005-150,BC:005-150
005-220,Corner Cap 43000301 C/S,Inventory Part,1,FLEET WAREHOUSE,005-220,BC:005-220
005-220-001,Corner Cap 43000302 R/S,Inventory Part,0,FLEET WAREHOUSE,005-220-001,BC:005-220-001
005-276-001,Corner Cap G/O Curb Side,Inventory Part,,FLEET WAREHOUSE,005-276-001,BC:005-276-001
005-400,"Corner Cap Lufkin 10"" Rad",Inventory Part,3,FLEET WAREHOUSE,005-400,BC:005-400
005-401,Corner Cap Lufkin,Inventory Part,2,FLEET WAREHOUSE,005-401,BC:005-401
005-440-001,Corner Cap Manac,Inventory Part,1,FLEET WAREHOUSE,005-440-001,BC:005-440-001
005-440-002,Corner Cap Manac,Inventory Part,,FLEET WAREHOUSE,005-440-002,BC:005-440-002
005-500,Corner Cap Monon CS,Inventory Part,0,FLEET WAREHOUSE,005-500,BC:005-500
005-501,Corner Cap Monon RS,Inventory Part,0,FLEET WAREHOUSE,005-501,BC:005-501
005-502,Corner Cap Monon Round,Inventory Part,1,FLEET WAREHOUSE,005-502,BC:005-502
005-526,Corner Cap Pines Curb Side,Inventory Part,,FLEET WAREHOUSE,005-526,BC:005-526
005-526-001,Corner Cap Pines Road Side,Inventory Part,,FLEET WAREHOUSE,005-526-001,BC:005-526-001
005-551,Corner Cap C/S Strick 0023,Inventory Part,6,FLEET WAREHOUSE,005-551,BC:005-551
005-551-001,Corner Cap R/S 0024,Inventory Part,4,FLEET WAREHOUSE,005-551-001,BC:005-551-001
005-552,Corner Cap Strick RR,Inventory Part,1,FLEET WAREHOUSE,005-552,BC:005-552
005-553,Corner Cap Strick RB,Inventory Part,2,FLEET WAREHOUSE,005-553,BC:005-553
005-558,Corner Cap Strick,Inventory Part,4,FLEET WAREHOUSE,005-558,BC:005-558
005-590,Corner Cap Supreme 116385,Inventory Part,,FLEET WAREHOUSE,,BC:
005-591,Corner Cap Rear Supreme,Inventory Part,,FLEET WAREHOUSE,005-591,BC:005-591
005-593,Corner Cap Supreme CS,Inventory Part,,FLEET WAREHOUSE,005-593,BC:005-593
005-593-001,Corner Cap Supreme RS,Inventory Part,,FLEET WAREHOUSE,005-593-001,BC:005-593-001
005-593-002,Corner Cap Wire Cover CS,Inventory Part,,FLEET WAREHOUSE,005-593-002,BC:005-593-002
005-593-003,Corner Cap Wire Cover RS,Inventory Part,,FLEET WAREHOUSE,005-593-003,BC:005-593-003
005-594,Corner Cap Rear Supreme,Inventory Part,,FLEET WAREHOUSE,005-594,BC:005-594
005-650,Corner Cap,Inventory Part,,FLEET WAREHOUSE,005-650,BC:005-650
005-702,Corner Cap T/M,Inventory Part,0,FLEET WAREHOUSE,005-702,BC:005-702
005-702-001,Corner Cap T/M,Inventory Part,3,FLEET WAREHOUSE,005-702-001,BC:005-702-001
005-707,Corner Cap Curb Side,Inventory Part,4,FLEET WAREHOUSE,005-707,BC:005-707
005-707-001,Corner Cap Road Side,Inventory Part,1,FLEET WAREHOUSE,005-707-001,BC:005-707-001
005-708,Corner Cap T/M,Inventory Part,3,FLEET WAREHOUSE,005-708,BC:005-708
005-754,Corner Cap Morgan RH C/S,Inventory Part,,FLEET WAREHOUSE,005-754,BC:005-754
005-756,Corner Cap Morgan 62664 CS,Inventory Part,,FLEET WAREHOUSE,005-756,BC:005-756
005-756-001,Corner Cap Morgan 62665 RS,Inventory Part,,FLEET WAREHOUSE,005-756-001,BC:005-756-001
5167,Pads Hose Tube Alum 1/8X8ID X1,Inventory Part,0,HY TEC,5167,BC:005167
8585,"Door Hose Tube 8""",Inventory Part,0,HY TEC,8585,BC:008585
8660,"Hose Tube 8"" X21' Alum",Inventory Part,0,HY TEC,8660,BC:008660
01-04021-100-00,Bracket Bumper Vert R/S,Inventory Part,1,STOUGHTON PARTS,01-04021-100-00,BC:01-04021-100-00
01-04021-200-00,Bracket Bumper Vert C/S,Inventory Part,1,STOUGHTON PARTS,01-04021-200-00,BC:01-04021-200-00
01-04023-000-00,Bracket Lisc Plate,Inventory Part,2,STOUGHTON PARTS,01-04023-000-00,BC:01-04023-000-00
01-04450-002-00,Cross Pipe #10X1.25X50,Inventory Part,2,STOUGHTON PARTS,01-04450-002-00,BC:01-04450-002-00
01-06284-000-00,Door Stop Mullion,Inventory Part,1,STOUGHTON PARTS,01-06284-000-00,BC:01-06284-000-00
01-06407-064 00,Post Side P/D Univ,Inventory Part,,STOUGHTON PARTS,01-06407-064 00,BC:01-06407-064 00
01-06650-001-00,"Brace L/G 64""",Inventory Part,1,STOUGHTON PARTS,01-06650-001-00,BC:01-06650-001-00
01-07187-001-00,Chain 5 Link,Inventory Part,9,STOUGHTON PARTS,01-07187-001-00,BC:01-07187-001-00
01-07187-008-00,Chain 6 Link,Inventory Part,7,STOUGHTON PARTS,01-07187-008-00,BC:01-07187-008-00
01-07224-001-00,End Clip Cross Member,Inventory Part,0,STOUGHTON PARTS,01-07224-001-00,BC:01-07224-001-00
01-07884-000-00,"End Plate 2"" C/M",Inventory Part,6,STOUGHTON PARTS,01-07884-000-00,BC:01-07884-000-00
01-09904-110-PV,Panel Side PPW 050X49X110,Inventory Part,9,STOUGHTON PARTS,01-09904-110-PV,BC:01-09904-110-PV
01-09904-XXX-15,Panel UPS Gray 49X110,Inventory Part,,STOUGHTON PARTS,01-09904-XXX-15,BC:01-09904-XXX-15
01-09943-002-00,"Brace L/G Angle 31.31""",Inventory Part,2,STOUGHTON PARTS,01-09943-002-00,BC:01-09943-002-00
01-09945-000-00,Bracket L/G Wing,Inventory Part,4,STOUGHTON PARTS,01-09945-000-00,BC:01-09945-000-00
01-10857-000-00,Angle L/G Mounting,Inventory Part,4,STOUGHTON PARTS,01-10857-000-00,BC:01-10857-000-00
01-11601-002-00,Inner Radius,Inventory Part,,,01-11601-002-00,BC:01-11601-002-00
01-11610-000-00,Upper Wire Gaurd,Inventory Part,0,STOUGHTON PARTS,01-11610-000-00,BC:01-11610-000-00
01-12442-200-00,Bracket LG CS,Inventory Part,,,01-12442-200-00,BC:01-12442-200-00
01-12652-004-00,Plate 1.50X1.50,Inventory Part,,,01-12652-004-00,BC:01-12652-004-00
01-12907-001-00,Nose Plate,Inventory Part,1,STOUGHTON PARTS,01-12907-001-00,BC:01-12907-001-00
01-12992-006-00,Post Nose P/D,Inventory Part,2,STOUGHTON PARTS,01-12992-006-00,BC:01-12992-006-00
01-12993-000-00,Air Line Cover,Inventory Part,,STOUGHTON PARTS,01-12993-000-00,BC:01-12993-000-00
